id,clearanceType,time,type
"ADH138","Runway Change",1549640701000,"DEP"
"ADH138","Runway Entry Change",1549640701000,"DEP"
"AUA516P","Runway Change",1549640701000,"DEP"
"AUA516P","Runway Entry Change",1549640701000,"DEP"
"EZY363E","Runway Change",1549640701000,"DEP"
"EZY363E","Runway Entry Change",1549640701000,"DEP"
"GWI3820","Runway Change",1549640701000,"ARR"
"GWI3820","Gate Change",1549640701000,"ARR"
"GWI3820","Runway Exit Change",1549640701000,"ARR"
"GWI3820","LDT Change",1549640701000,"ARR"
"BAW13MX","Runway Change",1549640701000,"ARR"
"BAW13MX","Gate Change",1549640701000,"ARR"
"BAW13MX","Runway Exit Change",1549640701000,"ARR"
"BAW13MX","LDT Change",1549640701000,"ARR"
"EZY84HN","Runway Change",1549640701000,"ARR"
"EZY84HN","Gate Change",1549640701000,"ARR"
"EZY84HN","Runway Exit Change",1549640701000,"ARR"
"EZY84HN","LDT Change",1549640701000,"ARR"
"EZY80XC","Runway Change",1549640701000,"ARR"
"EZY80XC","Gate Change",1549640701000,"ARR"
"EZY80XC","Runway Exit Change",1549640701000,"ARR"
"EZY80XC","LDT Change",1549640701000,"ARR"
"BAW13MX","LDT Change",1549640701000,"ARR"
"NAPOLI","Runway Change",1549640701000,"DEP"
"NAPOLI","Runway Entry Change",1549640701000,"DEP"
"EZY69BX","Runway Change",1549640701000,"ARR"
"EZY69BX","Gate Change",1549640701000,"ARR"
"EZY69BX","Runway Exit Change",1549640701000,"ARR"
"EZY69BX","LDT Change",1549640701000,"ARR"
"EZY84HN","LDT Change",1549640702000,"ARR"
"EZY69BX","LDT Change",1549640702000,"ARR"
"GWI3820","LDT Change",1549640702000,"ARR"
"EZY80XC","LDT Change",1549640722000,"ARR"
"EZY69BX","LDT Change",1549640773000,"ARR"
"EZY152X","Runway Change",1549640810000,"DEP"
"EZY152X","Runway Entry Change",1549640810000,"DEP"
"EZY53VK","Runway Change",1549640810000,"ARR"
"EZY53VK","Gate Change",1549640810000,"ARR"
"EZY53VK","Runway Exit Change",1549640810000,"ARR"
"EZY53VK","LDT Change",1549640810000,"ARR"
"EZY53VK","LDT Change",1549640810000,"ARR"
"AUA516P","Startup Clearance",1549640814000,"DEP"
"ADH138","Startup Clearance",1549640866000,"DEP"
"ADH124","Runway Change",1549640870000,"DEP"
"ADH124","Runway Entry Change",1549640870000,"DEP"
"AEA406","Runway Change",1549640870000,"DEP"
"AEA406","Runway Entry Change",1549640870000,"DEP"
"AUA516P","Taxi Clearance",1549640896000,"DEP"
"ADH138","Taxi Clearance",1549640898000,"DEP"
"GWI3820","LDT Change",1549640931000,"ARR"
"GWI3820","LDT Change",1549640984000,"ARR"
"THY4DX","Runway Change",1549640990000,"ARR"
"THY4DX","Gate Change",1549640990000,"ARR"
"THY4DX","Runway Exit Change",1549640990000,"ARR"
"THY4DX","LDT Change",1549640990000,"ARR"
"THY4DX","LDT Change",1549640990000,"ARR"
"AUA516P","Landing Clearance",1549641003000,"DEP"
"GWI3820","LDT Change",1549641021000,"ARR"
"ADH138","Landing Clearance",1549641026000,"DEP"
"AUA516P","Lineup Clearance",1549641028000,"DEP"
"EZY363E","Startup Clearance",1549641032000,"DEP"
