id,progressType,takeoffTime,taxiTime,taxipath,time
"NOS436","Taxi Start",1549642077212,232.91646825316673," K Z J W GW 35L-17R",1549642063000
"WZZ2TY","Gate Occupied",1549642888118,468.89212094763633," R K Z WB 35L-17R",1549642081000
"EZY53VK","Touchdown",1549640699000,211.15616824709406," 35R-17L E EM B",1549642101000
"EZY84HN","Gate Occupied",1549642147228,126.94444465518592," 35R-17L E A",1549642102000
"EZY53VK","Taxi Start",1549640699000,211.15616824709406," 35R-17L E EM B",1549642165000
"EZY54HY","Taxi Start",1549642642283,622.9859744871604," B BE M EM C CA 35R-17L",1549642165000
"EZY22XF","Taxi Start",1549642803124,633.1248393665713," M C CA 35R-17L",1549642175000
"DLH1LC","Gate Occupied",1549642968796,431.49884887830007," S K Z WB 35L-17R",1549642201000
"DLH252","Touchdown",1549640699000,344.5507506317425," 35R-17L D DM 35L-17R DB W T Y",1549642205000
"EZY152X","Taxi Start",1549642215258,639.4752026173652," M C CA 35R-17L",1549642211000
"TAR757","Taxi Start",1549642486026,432.800264848817," R Y S K T W F 35L-17R",1549642221000
"EZY53VK","Taxi Start",1549642411819,211.15616824709406," 35R-17L E EM B",1549642243000
"DLH252","Taxi Start",1549640699000,344.5507506317425," 35R-17L D DM 35L-17R DB W T Y",1549642245000
"EZY287C","Taxi Start",1549643039796,689.7966496128936," B BE M C H GE 35L-17R",1549642359000
"THY4DX","Touchdown",1549640699000,244.20293406091048," 35R-17L D DM 35L-17R DB W S",1549642391000
"ADH646","Taxi Start",1549642587112,310.35912152997025," K Z J W GW 35L-17R GE H C CA 35R-17L",1549642419000
"THY4DX","Taxi Start",1549640699000,244.20293406091048," 35R-17L D DM 35L-17R DB W S",1549642451000
"DLH252","Taxi Start",1549642615969,344.5507506317425," 35R-17L D DM 35L-17R DB W T Y",1549642458000
"THY4DX","Taxi Start",1549642721621,244.20293406091048," 35R-17L D DM 35L-17R DB W S",1549642512000
"DLH252","Taxi Start",1549642615969,344.5507506317425," 35R-17L D DM 35L-17R DB W T Y",1549642518000
"BEL6DR","Touchdown",1549640699000,242.3328498346902," 35R-17L D DM 35L-17R DB W S Y",1549642534000
"ADH646","Taxi Start",1549642667032,310.35912152997025," K Z J W GW 35L-17R GE H C CA 35R-17L",1549642555000
"BEL6DR","Taxi Start",1549640699000,242.3328498346902," 35R-17L D DM 35L-17R DB W S Y",1549642573000
"THY4DX","Taxi Start",1549640699000,244.20293406091048," 35R-17L D DM 35L-17R DB W S",1549642451000
"AEA406","Taxi Start",1549641945648,513.0702542967182," 609 T Y Z WB 35L-17R",1549641936000
"EZY54HY","Taxi Start",1549642642283,622.9859744871604," B BE M EM C CA 35R-17L",1549642165000
"AEA406","Gate Occupied",1549641730367,513.0702542967182," 609 T Y Z WB 35L-17R",1549640881000
"BEL6DR","Touchdown",1549640699000,242.3328498346902," 35R-17L D DM 35L-17R DB W S Y",1549642534000
"ADH138","Taxi Start",1549640863895,184.669581334388," K Z WB 35L-17R",1549641002000
"EZY53VK","Taxi Start",1549640699000,211.15616824709406," 35R-17L E EM B",1549642165000
"EZY69BX","Touchdown",1549640699000,200.7829087177707," 35R-17L E A",1549641734000
"NOS436","Taxi Start",1549642077212,232.91646825316673," K Z J W GW 35L-17R",1549642063000
"DLH252","Taxi Start",1549642615969,344.5507506317425," 35R-17L D DM 35L-17R DB W T Y",1549642458000
"THY4DX","Taxi Start",1549642721621,244.20293406091048," 35R-17L D DM 35L-17R DB W S",1549642512000
"AUA516P","Taxi Start",1549640798532,123.80716745884995," K Z WB 35L-17R",1549640985000
"EZY53VK","Touchdown",1549640699000,211.15616824709406," 35R-17L E EM B",1549642101000
"BEL6DR","Taxi Start",1549640699000,242.3328498346902," 35R-17L D DM 35L-17R DB W S Y",1549642573000
"EZY363E","Gate Occupied",1549641602102,684.8056766237677," A M C H GE 35L-17R",1549640704000
"AUA516P","Gate Occupied",1549640798532,123.80716745884995," K Z WB 35L-17R",1549640704000
"EZY287C","Gate Occupied",1549642507093,689.7966496128936," B BE M C H GE 35L-17R",1549641481000
"THY4DX","Touchdown",1549640699000,244.20293406091048," 35R-17L D DM 35L-17R DB W S",1549642391000
"AUA516P","Taxi Start",1549641143532,123.80716745884995," K Z WB 35L-17R",1549641142000
"NOS436","Taxi Start",1549641894972,203.67503345307452," K Z WB 35L-17R",1549641654000
"EZY80XC","Taxi Start",1549640699000,243.23341023701033," 35R-17L E A M",1549641384000
"EZY22XF","Taxi Start",1549642803124,633.1248393665713," M C CA 35R-17L",1549642175000
"EZY53VK","Taxi Start",1549642411819,211.15616824709406," 35R-17L E EM B",1549642243000
"WZZ2TY","Gate Occupied",1549642888118,468.89212094763633," R K Z WB 35L-17R",1549642081000
"EZY54HY","Gate Occupied",1549642797777,680.480776285549," B BE M C H GE 35L-17R",1549641781000
"EZY80XC","Touchdown",1549640699000,243.23341023701033," 35R-17L E A M",1549641320000
"EZY69BX","Gate Occupied",1549642034446,200.7829087177707," 35R-17L E A",1549641991000
"EZY69BX","Taxi Start",1549640699000,200.7829087177707," 35R-17L E A",1549641798000
"NOS436","Taxi Start",1549642040562,349.2649057740753," K Z J W GW 35L-17R GE H C CA 35R-17L",1549641827000
"DLH1LC","Gate Occupied",1549642968796,431.49884887830007," S K Z WB 35L-17R",1549642201000
"EZY363E","Taxi Start",1549641921540,556.857086501621," A M C CF FE 35L-17R",1549641904000
"DLH252","Taxi Start",1549642615969,344.5507506317425," 35R-17L D DM 35L-17R DB W T Y",1549642518000
"ADH646","Taxi Start",1549642587112,310.35912152997025," K Z J W GW 35L-17R GE H C CA 35R-17L",1549642419000
"EZY80XC","Taxi Start",1549641662896,243.23341023701033," 35R-17L E A M",1549641510000
"EZY152X","Gate Occupied",1549641839007,681.709866205839," M C H GE 35L-17R",1549640821000
"TAR757","Taxi Start",1549642486026,432.800264848817," R Y S K T W F 35L-17R",1549642221000
"EZY80XC","Taxi Start",1549641662896,243.23341023701033," 35R-17L E A M",1549641592000
"TAR757","Gate Occupied",1549642426066,486.8405057873887," R K Z WB 35L-17R",1549641601000
"ADH124","Gate Occupied",1549641388881,169.65542256105573," K Z WB 35L-17R",1549640881000
"EZY22XF","Gate Occupied",1549642852656,675.3595029550454," M C H GE 35L-17R",1549641841000
"DLH252","Taxi Start",1549640699000,344.5507506317425," 35R-17L D DM 35L-17R DB W T Y",1549642245000
"ADH138","Taxi Start",1549641202205,184.669581334388," K Z WB 35L-17R",1549641185000
"AEA406","Taxi Start",1549641564875,513.0702542967182," 609 T Y Z WB 35L-17R",1549641222000
"GWI3820","Touchdown",1549640699000,255.3764225788405," 35R-17L D DM 35L-17R DB W S Y",1549641499000
"EZY84HN","Taxi Start",1549640699000,126.94444465518592," 35R-17L E A",1549641983000
"ADH646","Taxi Start",1549642667032,310.35912152997025," K Z J W GW 35L-17R GE H C CA 35R-17L",1549642555000
"NOS436","Taxi Start",1549642077212,232.91646825316673," K Z J W GW 35L-17R",1549642050000
"NOS436","Gate Occupied",1549641780972,203.67503345307452," K Z WB 35L-17R",1549641241000
"EZY152X","Taxi Start",1549642018010,681.709866205839," M C H GE 35L-17R",1549641583000
"ADH646","Taxi Start",1549642103995,164.76924920896957," K Z WB 35L-17R",1549641965000
"NAPOLI","Gate Occupied",1549645635734,999.7232809477431," T Y H C CA 35R-17L",1549640704000
"EZY363E","Taxi Start",1549641804805,684.8056766237677," A M C H GE 35L-17R",1549641147000
"EZY80XC","Gate Occupied",1549641662896,243.23341023701033," 35R-17L E A M",1549641655000
"EZY152X","Taxi Start",1549642215258,639.4752026173652," M C CA 35R-17L",1549642211000
"GWI3820","Taxi Start",1549640699000,255.3764225788405," 35R-17L D DM 35L-17R DB W S Y",1549641558000
"ADH646","Gate Occupied",1549642103995,164.76924920896957," K Z WB 35L-17R",1549641601000
"EZY287C","Taxi Start",1549643039796,689.7966496128936," B BE M C H GE 35L-17R",1549642359000
"DLH252","Touchdown",1549640699000,344.5507506317425," 35R-17L D DM 35L-17R DB W T Y",1549642205000
"ADH124","Taxi Start",1549641388881,169.65542256105573," K Z WB 35L-17R",1549641644000
"ADH138","Gate Occupied",1549640863895,184.669581334388," K Z WB 35L-17R",1549640704000
"ADH124","Taxi Start",1549642039348,252.18251840267942," K Z W F 35L-17R",1549641932000
"EZY84HN","Touchdown",1549640699000,126.94444465518592," 35R-17L E A",1549641917000
"EZY84HN","Gate Occupied",1549642147228,126.94444465518592," 35R-17L E A",1549642102000
"GWI3820","Gate Occupied",1549641838646,255.3764225788405," 35R-17L D DM 35L-17R DB W S Y",1549641720000
"AEA406","Gate Occupied",1549641730367,513.0702542967182," 609 T Y Z WB 35L-17R",1549640881000
"THY4DX","Taxi Start",1549640699000,244.20293406091048," 35R-17L D DM 35L-17R DB W S",1549642451000
"EZY53VK","Taxi Start",1549640699000,211.15616824709406," 35R-17L E EM B",1549642165000
"AEA406","Taxi Start",1549641945648,513.0702542967182," 609 T Y Z WB 35L-17R",1549641936000
"ADH138","Taxi Start",1549640863895,184.669581334388," K Z WB 35L-17R",1549641002000
"AUA516P","Taxi Start",1549641143532,123.80716745884995," K Z WB 35L-17R",1549641142000
"DLH252","Taxi Start",1549642615969,344.5507506317425," 35R-17L D DM 35L-17R DB W T Y",1549642458000
"BEL6DR","Touchdown",1549640699000,242.3328498346902," 35R-17L D DM 35L-17R DB W S Y",1549642534000
"EZY69BX","Touchdown",1549640699000,200.7829087177707," 35R-17L E A",1549641734000
"THY4DX","Taxi Start",1549642721621,244.20293406091048," 35R-17L D DM 35L-17R DB W S",1549642512000
"EZY80XC","Taxi Start",1549640699000,243.23341023701033," 35R-17L E A M",1549641384000
"EZY363E","Gate Occupied",1549641602102,684.8056766237677," A M C H GE 35L-17R",1549640704000
"NOS436","Taxi Start",1549642077212,232.91646825316673," K Z J W GW 35L-17R",1549642063000
"EZY53VK","Touchdown",1549640699000,211.15616824709406," 35R-17L E EM B",1549642101000
"NOS436","Taxi Start",1549641894972,203.67503345307452," K Z WB 35L-17R",1549641654000
"EZY54HY","Taxi Start",1549642642283,622.9859744871604," B BE M EM C CA 35R-17L",1549642165000
"EZY287C","Gate Occupied",1549642507093,689.7966496128936," B BE M C H GE 35L-17R",1549641481000
"AUA516P","Taxi Start",1549640798532,123.80716745884995," K Z WB 35L-17R",1549640985000
"THY4DX","Touchdown",1549640699000,244.20293406091048," 35R-17L D DM 35L-17R DB W S",1549642391000
"BEL6DR","Taxi Start",1549640699000,242.3328498346902," 35R-17L D DM 35L-17R DB W S Y",1549642573000
"AUA516P","Gate Occupied",1549640798532,123.80716745884995," K Z WB 35L-17R",1549640704000
"WZZ2TY","Gate Occupied",1549642888118,468.89212094763633," R K Z WB 35L-17R",1549642081000
"EZY22XF","Taxi Start",1549642803124,633.1248393665713," M C CA 35R-17L",1549642175000
"EZY53VK","Taxi Start",1549642411819,211.15616824709406," 35R-17L E EM B",1549642243000
"EZY54HY","Gate Occupied",1549642797777,680.480776285549," B BE M C H GE 35L-17R",1549641781000
"EZY69BX","Gate Occupied",1549642034446,200.7829087177707," 35R-17L E A",1549641991000
"EZY69BX","Taxi Start",1549640699000,200.7829087177707," 35R-17L E A",1549641798000
"EZY80XC","Touchdown",1549640699000,243.23341023701033," 35R-17L E A M",1549641320000
"NOS436","Taxi Start",1549642040562,349.2649057740753," K Z J W GW 35L-17R GE H C CA 35R-17L",1549641827000
"EZY363E","Taxi Start",1549641921540,556.857086501621," A M C CF FE 35L-17R",1549641904000
"DLH1LC","Gate Occupied",1549642968796,431.49884887830007," S K Z WB 35L-17R",1549642201000
"ADH646","Taxi Start",1549642587112,310.35912152997025," K Z J W GW 35L-17R GE H C CA 35R-17L",1549642419000
"EZY80XC","Taxi Start",1549641662896,243.23341023701033," 35R-17L E A M",1549641592000
"EZY80XC","Taxi Start",1549641662896,243.23341023701033," 35R-17L E A M",1549641510000
"TAR757","Taxi Start",1549642486026,432.800264848817," R Y S K T W F 35L-17R",1549642221000
"DLH252","Taxi Start",1549642615969,344.5507506317425," 35R-17L D DM 35L-17R DB W T Y",1549642518000
"ADH124","Gate Occupied",1549641388881,169.65542256105573," K Z WB 35L-17R",1549640881000
"TAR757","Gate Occupied",1549642426066,486.8405057873887," R K Z WB 35L-17R",1549641601000
"EZY152X","Gate Occupied",1549641839007,681.709866205839," M C H GE 35L-17R",1549640821000
"DLH252","Taxi Start",1549640699000,344.5507506317425," 35R-17L D DM 35L-17R DB W T Y",1549642245000
"AEA406","Taxi Start",1549641564875,513.0702542967182," 609 T Y Z WB 35L-17R",1549641222000
"ADH646","Taxi Start",1549642103995,164.76924920896957," K Z WB 35L-17R",1549641965000
"EZY22XF","Gate Occupied",1549642852656,675.3595029550454," M C H GE 35L-17R",1549641841000
"EZY84HN","Taxi Start",1549640699000,126.94444465518592," 35R-17L E A",1549641983000
"EZY152X","Taxi Start",1549642018010,681.709866205839," M C H GE 35L-17R",1549641583000
"NAPOLI","Gate Occupied",1549645635734,999.7232809477431," T Y H C CA 35R-17L",1549640704000
"GWI3820","Touchdown",1549640699000,255.3764225788405," 35R-17L D DM 35L-17R DB W S Y",1549641499000
"ADH646","Taxi Start",1549642667032,310.35912152997025," K Z J W GW 35L-17R GE H C CA 35R-17L",1549642555000
"ADH138","Taxi Start",1549641202205,184.669581334388," K Z WB 35L-17R",1549641185000
"NOS436","Gate Occupied",1549641780972,203.67503345307452," K Z WB 35L-17R",1549641241000
"NOS436","Taxi Start",1549642077212,232.91646825316673," K Z J W GW 35L-17R",1549642050000
"EZY152X","Taxi Start",1549642215258,639.4752026173652," M C CA 35R-17L",1549642211000
"EZY363E","Taxi Start",1549641804805,684.8056766237677," A M C H GE 35L-17R",1549641147000
"ADH138","Gate Occupied",1549640863895,184.669581334388," K Z WB 35L-17R",1549640704000
"ADH124","Taxi Start",1549641388881,169.65542256105573," K Z WB 35L-17R",1549641644000
"ADH124","Taxi Start",1549642039348,252.18251840267942," K Z W F 35L-17R",1549641932000
"GWI3820","Taxi Start",1549640699000,255.3764225788405," 35R-17L D DM 35L-17R DB W S Y",1549641558000
"ADH646","Gate Occupied",1549642103995,164.76924920896957," K Z WB 35L-17R",1549641601000
"EZY80XC","Gate Occupied",1549641662896,243.23341023701033," 35R-17L E A M",1549641655000
"EZY287C","Taxi Start",1549643039796,689.7966496128936," B BE M C H GE 35L-17R",1549642359000
"EZY84HN","Touchdown",1549640699000,126.94444465518592," 35R-17L E A",1549641917000
"DLH252","Touchdown",1549640699000,344.5507506317425," 35R-17L D DM 35L-17R DB W T Y",1549642205000
"EZY84HN","Gate Occupied",1549642147228,126.94444465518592," 35R-17L E A",1549642102000
"GWI3820","Gate Occupied",1549641838646,255.3764225788405," 35R-17L D DM 35L-17R DB W S Y",1549641720000
