position,scenario,exercise,trafficType,objectId,timestamp,visible,authorized,moving,speed,status,phase,name,creator,heading,droneType,onlyRadar
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-16 10:05:08.856","plane","NAPOLI",1549641080300,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.61397832124927","lng":"8.775686132690437"},"LIMC","2022-06-16 10:05:08.856","drone","zWjJBni4lykVK5CZc18G",1549641082300,false,false,false,3,"ok","none","Drone_03"," - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.62043065925101","lng":"8.720971821513615"},"LIMC","2022-06-16 10:05:08.856","plane","AUA516P",1549641080300,true,true,false,0,"ok","STATIONARY","AUA516P","eArts",80,"UNKNOW","false"
{"lat":"45.63600780059732","lng":"8.7640989897461"},"LIMC","2022-06-16 10:05:08.856","drone","Od1WVkjbj6aiHclPxqkE",1549641080300,false,false,false,3,"ok","none","Drone_02"," - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","true"
{"lat":"45.65010932415166","lng":"8.769248831054695"},"LIMC","2022-06-16 10:05:08.856","drone","qgrTfQm9kh5f9OWop1ak",1549641081300,false,false,false,3,"ok","none","Drone_01"," - Flutter App",0,"1FP8D5Gx2nCkwsXKiTPb","true"
{"lat":"45.62043065925101","lng":"8.720971821513615"},"LIMC","2022-06-16 10:05:08.856","plane","AUA516P",1549641082300,true,true,false,0,"ok","STATIONARY","AUA516P","eArts",80,"UNKNOW","false"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-06-16 10:05:08.856","plane","ADH124",1549641084300,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
{"lat":"45.64605738463119","lng":"8.725169731353391"},"LIMC","2022-06-16 10:05:08.856","plane","EZY363E",1549641087300,true,true,false,0,"ok","STATIONARY","EZY363E","eArts",259,"UNKNOW","false"
{"lat":"45.61397832124927","lng":"8.775686132690437"},"LIMC","2022-06-16 10:05:08.856","drone","zWjJBni4lykVK5CZc18G",1549641089300,false,false,false,3,"ok","none","Drone_03"," - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.63600780059732","lng":"8.7640989897461"},"LIMC","2022-06-16 10:05:08.856","drone","Od1WVkjbj6aiHclPxqkE",1549641090300,false,false,false,3,"ok","none","Drone_02"," - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","true"
