position,scenario,exercise,trafficType,objectId,timestamp,visible,authorized,moving,speed,status,phase,name,creator,heading,droneType,onlyRadar
{"lat":"45.65010932415166","lng":"8.769248831054695"},"LIMC","2022-06-16 09:57:38.685","drone","kAlgRmFSklcS0dnN37HO",1549641064000,false,false,false,3,"ok","none","Drone_01"," - Flutter App",0,"1FP8D5Gx2nCkwsXKiTPb","true"
{"lat":"45.64551675894887","lng":"8.724741292395818"},"LIMC","2022-06-16 09:57:38.685","plane","EZY152X",1549641064000,true,true,false,0,"ok","STATIONARY","EZY152X","eArts",349,"UNKNOW","false"
{"lat":"45.61397832124927","lng":"8.775686132690437"},"LIMC","2022-06-16 09:57:38.685","drone","tCAlzWPnwm29rmOJQnTp",1549641064000,false,false,false,3,"ok","none","Drone_03"," - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.62417644286196","lng":"8.717764525109455"},"LIMC","2022-06-16 09:57:38.685","plane","AEA406",1549641065000,true,true,false,0,"ok","STATIONARY","AEA406","eArts",324,"UNKNOW","false"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-16 09:57:38.685","plane","NAPOLI",1549641065000,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.63600780059732","lng":"8.7640989897461"},"LIMC","2022-06-16 09:57:38.685","drone","DGsdlkiTyOSLo1gOraqw",1549641065000,false,false,false,3,"ok","none","Drone_02"," - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","true"
{"lat":"45.61397832124927","lng":"8.775686132690437"},"LIMC","2022-06-16 09:57:38.685","drone","tCAlzWPnwm29rmOJQnTp",1549641065000,false,false,false,3,"ok","none","Drone_03"," - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-06-16 09:57:38.685","plane","ADH124",1549641065000,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
{"lat":"45.64605738463119","lng":"8.725169731353391"},"LIMC","2022-06-16 09:57:38.685","plane","EZY363E",1549641065000,true,true,false,0,"ok","STATIONARY","EZY363E","eArts",259,"UNKNOW","false"
{"lat":"45.62043065925101","lng":"8.720971821513615"},"LIMC","2022-06-16 09:57:38.685","plane","AUA516P",1549641065000,true,true,false,0,"ok","STATIONARY","AUA516P","eArts",80,"UNKNOW","false"
{"lat":"45.64551675894887","lng":"8.724741292395818"},"LIMC","2022-06-16 09:57:38.685","plane","EZY152X",1549641065000,true,true,false,0,"ok","STATIONARY","EZY152X","eArts",349,"UNKNOW","false"
{"lat":"45.65010932415166","lng":"8.769248831054695"},"LIMC","2022-06-16 09:57:38.685","drone","kAlgRmFSklcS0dnN37HO",1549641065000,false,false,false,3,"ok","none","Drone_01"," - Flutter App",0,"1FP8D5Gx2nCkwsXKiTPb","true"
{"lat":"45.625973455795105","lng":"8.719449853566177"},"LIMC","2022-06-16 09:57:38.685","plane","ADH138",1549641065000,true,true,false,0,"ok","STATIONARY","ADH138","eArts",79,"UNKNOW","false"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-16 09:57:38.685","plane","NAPOLI",1549641066000,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.62417644286196","lng":"8.717764525109455"},"LIMC","2022-06-16 09:57:38.685","plane","AEA406",1549641066000,true,true,false,0,"ok","STATIONARY","AEA406","eArts",324,"UNKNOW","false"
{"lat":"45.65010932415166","lng":"8.769248831054695"},"LIMC","2022-06-16 09:57:38.685","drone","kAlgRmFSklcS0dnN37HO",1549641066000,false,false,false,3,"ok","none","Drone_01"," - Flutter App",0,"1FP8D5Gx2nCkwsXKiTPb","true"
{"lat":"45.625973455795105","lng":"8.719449853566177"},"LIMC","2022-06-16 09:57:38.685","plane","ADH138",1549641066000,true,true,false,0,"ok","STATIONARY","ADH138","eArts",79,"UNKNOW","false"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-06-16 09:57:38.685","plane","ADH124",1549641066000,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
{"lat":"45.61397832124927","lng":"8.775686132690437"},"LIMC","2022-06-16 09:57:38.685","drone","tCAlzWPnwm29rmOJQnTp",1549641066000,false,false,false,3,"ok","none","Drone_03"," - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.63600780059732","lng":"8.7640989897461"},"LIMC","2022-06-16 09:57:38.685","drone","DGsdlkiTyOSLo1gOraqw",1549641066000,false,false,false,3,"ok","none","Drone_02"," - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","true"
{"lat":"45.64551675894887","lng":"8.724741292395818"},"LIMC","2022-06-16 09:57:38.685","plane","EZY152X",1549641066000,true,true,false,0,"ok","STATIONARY","EZY152X","eArts",349,"UNKNOW","false"
{"lat":"45.64605738463119","lng":"8.725169731353391"},"LIMC","2022-06-16 09:57:38.685","plane","EZY363E",1549641066000,true,true,false,0,"ok","STATIONARY","EZY363E","eArts",259,"UNKNOW","false"
{"lat":"45.62043065925101","lng":"8.720971821513615"},"LIMC","2022-06-16 09:57:38.685","plane","AUA516P",1549641066000,true,true,false,0,"ok","STATIONARY","AUA516P","eArts",80,"UNKNOW","false"
{"lat":"45.62417644286196","lng":"8.717764525109455"},"LIMC","2022-06-16 09:57:38.685","plane","AEA406",1549641067000,true,true,false,0,"ok","STATIONARY","AEA406","eArts",324,"UNKNOW","false"
{"lat":"45.62043065925101","lng":"8.720971821513615"},"LIMC","2022-06-16 09:57:38.685","plane","AUA516P",1549641067000,true,true,false,0,"ok","STATIONARY","AUA516P","eArts",80,"UNKNOW","false"
{"lat":"45.64551675894887","lng":"8.724741292395818"},"LIMC","2022-06-16 09:57:38.685","plane","EZY152X",1549641067000,true,true,false,0,"ok","STATIONARY","EZY152X","eArts",349,"UNKNOW","false"
{"lat":"45.65010932415166","lng":"8.769248831054695"},"LIMC","2022-06-16 09:57:38.685","drone","kAlgRmFSklcS0dnN37HO",1549641067000,false,false,false,3,"ok","none","Drone_01"," - Flutter App",0,"1FP8D5Gx2nCkwsXKiTPb","true"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-06-16 09:57:38.685","plane","ADH124",1549641067000,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
{"lat":"45.625973455795105","lng":"8.719449853566177"},"LIMC","2022-06-16 09:57:38.685","plane","ADH138",1549641067000,true,true,false,0,"ok","STATIONARY","ADH138","eArts",79,"UNKNOW","false"
{"lat":"45.64605738463119","lng":"8.725169731353391"},"LIMC","2022-06-16 09:57:38.685","plane","EZY363E",1549641067000,true,true,false,0,"ok","STATIONARY","EZY363E","eArts",259,"UNKNOW","false"
{"lat":"45.63600780059732","lng":"8.7640989897461"},"LIMC","2022-06-16 09:57:38.685","drone","DGsdlkiTyOSLo1gOraqw",1549641067000,false,false,false,3,"ok","none","Drone_02"," - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","true"
{"lat":"45.61397832124927","lng":"8.775686132690437"},"LIMC","2022-06-16 09:57:38.685","drone","tCAlzWPnwm29rmOJQnTp",1549641067000,false,false,false,3,"ok","none","Drone_03"," - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-16 09:57:38.685","plane","NAPOLI",1549641067000,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-16 09:57:38.685","plane","NAPOLI",1549641068000,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-06-16 09:57:38.685","plane","ADH124",1549641068000,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
{"lat":"45.64605738463119","lng":"8.725169731353391"},"LIMC","2022-06-16 09:57:38.685","plane","EZY363E",1549641068000,true,true,false,0,"ok","STATIONARY","EZY363E","eArts",259,"UNKNOW","false"
{"lat":"45.63600780059732","lng":"8.7640989897461"},"LIMC","2022-06-16 09:57:38.685","drone","DGsdlkiTyOSLo1gOraqw",1549641068000,false,false,false,3,"ok","none","Drone_02"," - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","true"
{"lat":"45.625973455795105","lng":"8.719449853566177"},"LIMC","2022-06-16 09:57:38.685","plane","ADH138",1549641068000,true,true,false,0,"ok","STATIONARY","ADH138","eArts",79,"UNKNOW","false"
{"lat":"45.62417644286196","lng":"8.717764525109455"},"LIMC","2022-06-16 09:57:38.685","plane","AEA406",1549641068000,true,true,false,0,"ok","STATIONARY","AEA406","eArts",324,"UNKNOW","false"
{"lat":"45.64551675894887","lng":"8.724741292395818"},"LIMC","2022-06-16 09:57:38.685","plane","EZY152X",1549641068000,true,true,false,0,"ok","STATIONARY","EZY152X","eArts",349,"UNKNOW","false"
{"lat":"45.61397832124927","lng":"8.775686132690437"},"LIMC","2022-06-16 09:57:38.685","drone","tCAlzWPnwm29rmOJQnTp",1549641068000,false,false,false,3,"ok","none","Drone_03"," - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.65010932415166","lng":"8.769248831054695"},"LIMC","2022-06-16 09:57:38.685","drone","kAlgRmFSklcS0dnN37HO",1549641068000,false,false,false,3,"ok","none","Drone_01"," - Flutter App",0,"1FP8D5Gx2nCkwsXKiTPb","true"
{"lat":"45.62043065925101","lng":"8.720971821513615"},"LIMC","2022-06-16 09:57:38.685","plane","AUA516P",1549641068000,true,true,false,0,"ok","STATIONARY","AUA516P","eArts",80,"UNKNOW","false"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-16 09:57:38.685","plane","NAPOLI",1549641069000,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.63600780059732","lng":"8.7640989897461"},"LIMC","2022-06-16 09:57:38.685","drone","DGsdlkiTyOSLo1gOraqw",1549641069000,false,false,false,3,"ok","none","Drone_02"," - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","true"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-06-16 09:57:38.685","plane","ADH124",1549641069000,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
{"lat":"45.625973455795105","lng":"8.719449853566177"},"LIMC","2022-06-16 09:57:38.685","plane","ADH138",1549641069000,true,true,false,0,"ok","STATIONARY","ADH138","eArts",79,"UNKNOW","false"
{"lat":"45.62417644286196","lng":"8.717764525109455"},"LIMC","2022-06-16 09:57:38.685","plane","AEA406",1549641069000,true,true,false,0,"ok","STATIONARY","AEA406","eArts",324,"UNKNOW","false"
{"lat":"45.62043065925101","lng":"8.720971821513615"},"LIMC","2022-06-16 09:57:38.685","plane","AUA516P",1549641069000,true,true,false,0,"ok","STATIONARY","AUA516P","eArts",80,"UNKNOW","false"
{"lat":"45.64605738463119","lng":"8.725169731353391"},"LIMC","2022-06-16 09:57:38.685","plane","EZY363E",1549641069000,true,true,false,0,"ok","STATIONARY","EZY363E","eArts",259,"UNKNOW","false"
{"lat":"45.61397832124927","lng":"8.775686132690437"},"LIMC","2022-06-16 09:57:38.685","drone","tCAlzWPnwm29rmOJQnTp",1549641069000,false,false,false,3,"ok","none","Drone_03"," - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.64551675894887","lng":"8.724741292395818"},"LIMC","2022-06-16 09:57:38.685","plane","EZY152X",1549641069000,true,true,false,0,"ok","STATIONARY","EZY152X","eArts",349,"UNKNOW","false"
{"lat":"45.65010932415166","lng":"8.769248831054695"},"LIMC","2022-06-16 09:57:38.685","drone","kAlgRmFSklcS0dnN37HO",1549641069000,false,false,false,3,"ok","none","Drone_01"," - Flutter App",0,"1FP8D5Gx2nCkwsXKiTPb","true"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-16 09:57:38.685","plane","NAPOLI",1549641070000,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.63600780059732","lng":"8.7640989897461"},"LIMC","2022-06-16 09:57:38.685","drone","DGsdlkiTyOSLo1gOraqw",1549641070000,false,false,false,3,"ok","none","Drone_02"," - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","true"
{"lat":"45.625973455795105","lng":"8.719449853566177"},"LIMC","2022-06-16 09:57:38.685","plane","ADH138",1549641070000,true,true,false,0,"ok","STATIONARY","ADH138","eArts",79,"UNKNOW","false"
{"lat":"45.64605738463119","lng":"8.725169731353391"},"LIMC","2022-06-16 09:57:38.685","plane","EZY363E",1549641070000,true,true,false,0,"ok","STATIONARY","EZY363E","eArts",259,"UNKNOW","false"
{"lat":"45.62417644286196","lng":"8.717764525109455"},"LIMC","2022-06-16 09:57:38.685","plane","AEA406",1549641070000,true,true,false,0,"ok","STATIONARY","AEA406","eArts",324,"UNKNOW","false"
{"lat":"45.65010932415166","lng":"8.769248831054695"},"LIMC","2022-06-16 09:57:38.685","drone","kAlgRmFSklcS0dnN37HO",1549641070000,false,false,false,3,"ok","none","Drone_01"," - Flutter App",0,"1FP8D5Gx2nCkwsXKiTPb","true"
{"lat":"45.61397832124927","lng":"8.775686132690437"},"LIMC","2022-06-16 09:57:38.685","drone","tCAlzWPnwm29rmOJQnTp",1549641070000,false,false,false,3,"ok","none","Drone_03"," - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-06-16 09:57:38.685","plane","ADH124",1549641070000,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
{"lat":"45.64551675894887","lng":"8.724741292395818"},"LIMC","2022-06-16 09:57:38.685","plane","EZY152X",1549641070000,true,true,false,0,"ok","STATIONARY","EZY152X","eArts",349,"UNKNOW","false"
{"lat":"45.62043065925101","lng":"8.720971821513615"},"LIMC","2022-06-16 09:57:38.685","plane","AUA516P",1549641070000,true,true,false,0,"ok","STATIONARY","AUA516P","eArts",80,"UNKNOW","false"
{"lat":"45.62417644286196","lng":"8.717764525109455"},"LIMC","2022-06-16 09:57:38.685","plane","AEA406",1549641071000,true,true,false,0,"ok","STATIONARY","AEA406","eArts",324,"UNKNOW","false"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-16 09:57:38.685","plane","NAPOLI",1549641071000,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.62043065925101","lng":"8.720971821513615"},"LIMC","2022-06-16 09:57:38.685","plane","AUA516P",1549641071000,true,true,false,0,"ok","STATIONARY","AUA516P","eArts",80,"UNKNOW","false"
{"lat":"45.64605738463119","lng":"8.725169731353391"},"LIMC","2022-06-16 09:57:38.685","plane","EZY363E",1549641071000,true,true,false,0,"ok","STATIONARY","EZY363E","eArts",259,"UNKNOW","false"
{"lat":"45.63600780059732","lng":"8.7640989897461"},"LIMC","2022-06-16 09:57:38.685","drone","DGsdlkiTyOSLo1gOraqw",1549641071000,false,false,false,3,"ok","none","Drone_02"," - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","true"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-06-16 09:57:38.685","plane","ADH124",1549641071000,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
{"lat":"45.625973455795105","lng":"8.719449853566177"},"LIMC","2022-06-16 09:57:38.685","plane","ADH138",1549641071000,true,true,false,0,"ok","STATIONARY","ADH138","eArts",79,"UNKNOW","false"
{"lat":"45.61397832124927","lng":"8.775686132690437"},"LIMC","2022-06-16 09:57:38.685","drone","tCAlzWPnwm29rmOJQnTp",1549641071000,false,false,false,3,"ok","none","Drone_03"," - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.65010932415166","lng":"8.769248831054695"},"LIMC","2022-06-16 09:57:38.685","drone","kAlgRmFSklcS0dnN37HO",1549641071000,false,false,false,3,"ok","none","Drone_01"," - Flutter App",0,"1FP8D5Gx2nCkwsXKiTPb","true"
{"lat":"45.64551675894887","lng":"8.724741292395818"},"LIMC","2022-06-16 09:57:38.685","plane","EZY152X",1549641071000,true,true,false,0,"ok","STATIONARY","EZY152X","eArts",349,"UNKNOW","false"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-06-16 09:57:38.685","plane","ADH124",1549641072000,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
{"lat":"45.63600780059732","lng":"8.7640989897461"},"LIMC","2022-06-16 09:57:38.685","drone","DGsdlkiTyOSLo1gOraqw",1549641072000,false,false,false,3,"ok","none","Drone_02"," - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","true"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-16 09:57:38.685","plane","NAPOLI",1549641072000,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.625973455795105","lng":"8.719449853566177"},"LIMC","2022-06-16 09:57:38.685","plane","ADH138",1549641072000,true,true,false,0,"ok","STATIONARY","ADH138","eArts",79,"UNKNOW","false"
{"lat":"45.64605738463119","lng":"8.725169731353391"},"LIMC","2022-06-16 09:57:38.685","plane","EZY363E",1549641072000,true,true,false,0,"ok","STATIONARY","EZY363E","eArts",259,"UNKNOW","false"
{"lat":"45.61397832124927","lng":"8.775686132690437"},"LIMC","2022-06-16 09:57:38.685","drone","tCAlzWPnwm29rmOJQnTp",1549641072000,false,false,false,3,"ok","none","Drone_03"," - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.65010932415166","lng":"8.769248831054695"},"LIMC","2022-06-16 09:57:38.685","drone","kAlgRmFSklcS0dnN37HO",1549641072000,false,false,false,3,"ok","none","Drone_01"," - Flutter App",0,"1FP8D5Gx2nCkwsXKiTPb","true"
{"lat":"45.64551675894887","lng":"8.724741292395818"},"LIMC","2022-06-16 09:57:38.685","plane","EZY152X",1549641072000,true,true,false,0,"ok","STATIONARY","EZY152X","eArts",349,"UNKNOW","false"
{"lat":"45.62043065925101","lng":"8.720971821513615"},"LIMC","2022-06-16 09:57:38.685","plane","AUA516P",1549641072000,true,true,false,0,"ok","STATIONARY","AUA516P","eArts",80,"UNKNOW","false"
{"lat":"45.62417644286196","lng":"8.717764525109455"},"LIMC","2022-06-16 09:57:38.685","plane","AEA406",1549641072000,true,true,false,0,"ok","STATIONARY","AEA406","eArts",324,"UNKNOW","false"
{"lat":"45.625973455795105","lng":"8.719449853566177"},"LIMC","2022-06-16 09:57:38.685","plane","ADH138",1549641073000,true,true,false,0,"ok","STATIONARY","ADH138","eArts",79,"UNKNOW","false"
{"lat":"45.62417644286196","lng":"8.717764525109455"},"LIMC","2022-06-16 09:57:38.685","plane","AEA406",1549641073000,true,true,false,0,"ok","STATIONARY","AEA406","eArts",324,"UNKNOW","false"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-16 09:57:38.685","plane","NAPOLI",1549641073000,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-06-16 09:57:38.685","plane","ADH124",1549641073000,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
{"lat":"45.64605738463119","lng":"8.725169731353391"},"LIMC","2022-06-16 09:57:38.685","plane","EZY363E",1549641073000,true,true,false,0,"ok","STATIONARY","EZY363E","eArts",259,"UNKNOW","false"
{"lat":"45.63600780059732","lng":"8.7640989897461"},"LIMC","2022-06-16 09:57:38.685","drone","DGsdlkiTyOSLo1gOraqw",1549641073000,false,false,false,3,"ok","none","Drone_02"," - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","true"
{"lat":"45.62043065925101","lng":"8.720971821513615"},"LIMC","2022-06-16 09:57:38.685","plane","AUA516P",1549641073000,true,true,false,0,"ok","STATIONARY","AUA516P","eArts",80,"UNKNOW","false"
{"lat":"45.65010932415166","lng":"8.769248831054695"},"LIMC","2022-06-16 09:57:38.685","drone","kAlgRmFSklcS0dnN37HO",1549641073000,false,false,false,3,"ok","none","Drone_01"," - Flutter App",0,"1FP8D5Gx2nCkwsXKiTPb","true"
{"lat":"45.64551675894887","lng":"8.724741292395818"},"LIMC","2022-06-16 09:57:38.685","plane","EZY152X",1549641073000,true,true,false,0,"ok","STATIONARY","EZY152X","eArts",349,"UNKNOW","false"
{"lat":"45.61397832124927","lng":"8.775686132690437"},"LIMC","2022-06-16 09:57:38.685","drone","tCAlzWPnwm29rmOJQnTp",1549641073000,false,false,false,3,"ok","none","Drone_03"," - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-16 09:57:38.685","plane","NAPOLI",1549641074000,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.63600780059732","lng":"8.7640989897461"},"LIMC","2022-06-16 09:57:38.685","drone","DGsdlkiTyOSLo1gOraqw",1549641074000,false,false,false,3,"ok","none","Drone_02"," - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","true"
