id,progressType,time
"EZY80XC","Stopbar Passed",1549641315000
"EZY80XC","Touchdown",1549641209000
"EZY363E","Pushback Start",1549641133000
"ADH138","Stopbar approached",1549641294000
"EZY363E","Gate Occupied",1549641065000
"ADH138","Gate Vacated",1549641135000
"NAPOLI","Gate Occupied",1549641065000
"EZY363E","Pushback Complete",1549641284000
"EZY363E","Gate Vacated",1549641133000
"AUA516P","Gate Vacated",1549641113000
"ADH124","Gate Occupied",1549641065000
"EZY152X","Gate Occupied",1549641065000
"ADH138","Gate Occupied",1549641065000
"NOS436","Gate Occupied",1549641241000
"AEA406","Gate Occupied",1549641065000
"AUA516P","Gate Occupied",1549641065000
"EZY80XC","Stopbar approached",1549641300000
"AEA406","Gate Vacated",1549641072000
"AEA406","Pushback Start",1549641072000
"AEA406","Pushback Complete",1549641286000
"GWI3820","Touchdown",1549641367000
"AUA516P","Stopbar approached",1549641212000
"EZY80XC","Runway Exit",1549641286000
"NAPOLI","Gate Occupied",1549641065000
"EZY363E","Gate Occupied",1549641065000
"EZY363E","Gate Vacated",1549641133000
"EZY363E","Pushback Start",1549641133000
"EZY80XC","Touchdown",1549641209000
"EZY363E","Pushback Complete",1549641284000
"AUA516P","Gate Vacated",1549641113000
"ADH138","Stopbar approached",1549641294000
"EZY80XC","Stopbar Passed",1549641315000
"ADH124","Gate Occupied",1549641065000
"ADH138","Gate Vacated",1549641135000
"EZY152X","Gate Occupied",1549641065000
"ADH138","Gate Occupied",1549641065000
"NOS436","Gate Occupied",1549641241000
