position,scenario,exercise,trafficType,objectId,timestamp,visible,authorized,moving,speed,status,phase,name,creator,heading,droneType,onlyRadar
{"lat":"45.62416054751756","lng":"8.719947761990177"},"LIMC","2022-06-16 15:34:05.501","plane","ADH646",1549641803900,true,true,false,0,"ok","STATIONARY","ADH646","eArts",79,"UNKNOW","false"
{"lat":"45.61033668821027","lng":"8.808666209596797"},"LIMC","2022-06-16 15:34:05.501","drone","KU06HhsG71cqktPGMRrC",1549641804900,false,false,false,3,"ok","none","Drone_03"," - Flutter App",0,"iGbdly63CmE9yNzl8Xus","true"
{"lat":"45.62416054751756","lng":"8.719947761990177"},"LIMC","2022-06-16 15:34:05.501","plane","ADH646",1549641804900,true,true,false,0,"ok","STATIONARY","ADH646","eArts",79,"UNKNOW","false"
{"lat":"45.64605738463119","lng":"8.725169731353391"},"LIMC","2022-06-16 15:34:05.501","plane","EZY363E",1549641805900,true,true,false,0,"ok","STATIONARY","EZY363E","eArts",259,"UNKNOW","false"
{"lat":"45.6381161098455","lng":"8.720753363691216"},"LIMC","2022-06-16 15:34:05.501","plane","AEA406",1549641806900,true,true,false,72,"ok","TAKINGOFF","AEA406","eArts",349,"UNKNOW","false"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-06-16 15:34:05.501","plane","ADH124",1549641808900,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
{"lat":"45.644815051108466","lng":"8.7187365401686"},"LIMC","2022-06-16 15:34:05.501","plane","AEA406",1549641814900,true,true,false,96,"ok","AIRBORNE","AEA406","eArts",334,"UNKNOW","false"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-16 15:34:05.501","plane","NAPOLI",1549641815900,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.609098746417466","lng":"8.66072690137471"},"LIMC","2022-06-16 15:34:05.501","drone","nostZ24h3cVRvaQoip6f",1549641816900,false,false,false,3,"ok","none","Drone_04"," - Flutter App",0,"1FP8D5Gx2nCkwsXKiTPb","true"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-16 15:34:05.501","plane","NAPOLI",1549641818900,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.62416054751756","lng":"8.719947761990177"},"LIMC","2022-06-16 15:34:05.501","plane","ADH646",1549641819900,true,true,false,0,"ok","STATIONARY","ADH646","eArts",79,"UNKNOW","false"
{"lat":"45.646749683206465","lng":"8.721346758403413"},"LIMC","2022-06-16 15:34:05.501","plane","EZY54HY",1549641792900,true,true,false,0,"ok","STATIONARY","EZY54HY","eArts",399,"UNKNOW","false"
{"lat":"45.61427689128341","lng":"8.725750729342376"},"LIMC","2022-06-16 15:34:05.501","plane","AUA516P",1549641792900,true,true,false,0,"ok","STATIONARY","AUA516P","eArts",79,"UNKNOW","false"
{"lat":"45.646013250231974","lng":"8.721870850910953"},"LIMC","2022-06-16 15:34:05.501","plane","EZY287C",1549641792900,true,true,false,0,"ok","STATIONARY","EZY287C","eArts",439,"UNKNOW","false"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-16 15:34:05.501","plane","NAPOLI",1549641794900,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.6285112498424","lng":"8.715215211637432"},"LIMC","2022-06-16 15:34:05.501","plane","TAR757",1549641794900,true,true,false,0,"ok","STATIONARY","TAR757","eArts",529,"UNKNOW","false"
{"lat":"45.609098746417466","lng":"8.66072690137471"},"LIMC","2022-06-16 15:34:05.501","drone","nostZ24h3cVRvaQoip6f",1549641794900,false,false,false,3,"ok","none","Drone_04"," - Flutter App",0,"1FP8D5Gx2nCkwsXKiTPb","true"
{"lat":"45.61033668821027","lng":"8.808666209596797"},"LIMC","2022-06-16 15:34:05.501","drone","KU06HhsG71cqktPGMRrC",1549641796900,false,false,false,3,"ok","none","Drone_03"," - Flutter App",0,"iGbdly63CmE9yNzl8Xus","true"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-16 15:34:05.501","plane","NAPOLI",1549641797900,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.646013250231974","lng":"8.721870850910953"},"LIMC","2022-06-16 15:34:05.501","plane","EZY287C",1549641797900,true,true,false,0,"ok","STATIONARY","EZY287C","eArts",439,"UNKNOW","false"
{"lat":"45.632222277971806","lng":"8.722381540740201"},"LIMC","2022-06-16 15:34:05.501","plane","AEA406",1549641798900,true,true,false,58,"ok","TAKINGOFF","AEA406","eArts",349,"UNKNOW","false"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-06-16 15:34:05.501","plane","ADH124",1549641798900,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
{"lat":"45.646749683206465","lng":"8.721346758403413"},"LIMC","2022-06-16 15:34:05.501","plane","EZY54HY",1549641798900,true,true,false,0,"ok","STATIONARY","EZY54HY","eArts",399,"UNKNOW","false"
{"lat":"45.64302535228929","lng":"8.676336941363454"},"LIMC","2022-06-16 15:34:05.501","drone","XEbXvJv0bVkBZXlUDFuT",1549641799900,false,false,false,3,"ok","none","Drone_01"," - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-06-16 15:34:05.501","plane","ADH124",1549641801900,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-16 15:34:05.501","plane","NAPOLI",1549641802900,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.635856483261534","lng":"8.721377661268994"},"LIMC","2022-06-16 15:34:05.501","plane","AEA406",1549641803900,true,true,false,68,"ok","TAKINGOFF","AEA406","eArts",349,"UNKNOW","false"
{"lat":"45.64302535228929","lng":"8.676336941363454"},"LIMC","2022-06-16 15:34:05.501","drone","XEbXvJv0bVkBZXlUDFuT",1549641804900,true,false,false,3,"ok","none","Drone_01"," - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.646749683206465","lng":"8.721346758403413"},"LIMC","2022-06-16 15:34:05.501","plane","EZY54HY",1549641804900,true,true,false,0,"ok","STATIONARY","EZY54HY","eArts",399,"UNKNOW","false"
{"lat":"45.655359159731915","lng":"8.769352687944183"},"LIMC","2022-06-16 15:34:05.501","drone","WiCRJDct38BXbuhwf1sC",1549641805900,false,false,false,3,"ok","none","Drone_02"," - Flutter App",0,"qJfB2EiRwZzorBCifwNH","true"
{"lat":"45.627721052658124","lng":"8.718975143893646"},"LIMC","2022-06-16 15:34:05.501","plane","NOS436",1549641806900,true,true,false,0,"ok","STATIONARY","NOS436","eArts",79,"UNKNOW","false"
{"lat":"45.627721052658124","lng":"8.718975143893646"},"LIMC","2022-06-16 15:34:05.501","plane","NOS436",1549641808900,true,true,false,0,"ok","STATIONARY","NOS436","eArts",79,"UNKNOW","false"
{"lat":"45.646749683206465","lng":"8.721346758403413"},"LIMC","2022-06-16 15:34:05.501","plane","EZY54HY",1549641808900,true,true,false,0,"ok","STATIONARY","EZY54HY","eArts",399,"UNKNOW","false"
{"lat":"45.61033668821027","lng":"8.808666209596797"},"LIMC","2022-06-16 15:34:05.501","drone","KU06HhsG71cqktPGMRrC",1549641809900,false,false,false,3,"ok","none","Drone_03"," - Flutter App",0,"iGbdly63CmE9yNzl8Xus","true"
{"lat":"45.64605738463119","lng":"8.725169731353391"},"LIMC","2022-06-16 15:34:05.501","plane","EZY363E",1549641810900,true,true,false,0,"ok","STATIONARY","EZY363E","eArts",259,"UNKNOW","false"
{"lat":"45.646013250231974","lng":"8.721870850910953"},"LIMC","2022-06-16 15:34:05.501","plane","EZY287C",1549641811900,true,true,false,0,"ok","STATIONARY","EZY287C","eArts",439,"UNKNOW","false"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-16 15:34:05.501","plane","NAPOLI",1549641812900,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.646013250231974","lng":"8.721870850910953"},"LIMC","2022-06-16 15:34:05.501","plane","EZY287C",1549641812900,true,true,false,0,"ok","STATIONARY","EZY287C","eArts",439,"UNKNOW","false"
{"lat":"45.62416054751756","lng":"8.719947761990177"},"LIMC","2022-06-16 15:34:05.501","plane","ADH646",1549641813900,true,true,false,0,"ok","STATIONARY","ADH646","eArts",79,"UNKNOW","false"
{"lat":"45.64605738463119","lng":"8.725169731353391"},"LIMC","2022-06-16 15:34:05.501","plane","EZY363E",1549641815900,true,true,false,0,"ok","STATIONARY","EZY363E","eArts",259,"UNKNOW","false"
{"lat":"45.64551675894887","lng":"8.724741292395818"},"LIMC","2022-06-16 15:34:05.501","plane","EZY152X",1549641818900,true,true,false,0,"ok","STATIONARY","EZY152X","eArts",349,"UNKNOW","false"
{"lat":"45.6285112498424","lng":"8.715215211637432"},"LIMC","2022-06-16 15:34:05.501","plane","TAR757",1549641818900,true,true,false,0,"ok","STATIONARY","TAR757","eArts",529,"UNKNOW","false"
{"lat":"45.655359159731915","lng":"8.769352687944183"},"LIMC","2022-06-16 15:34:05.501","drone","WiCRJDct38BXbuhwf1sC",1549641820900,false,false,false,3,"ok","none","Drone_02"," - Flutter App",0,"qJfB2EiRwZzorBCifwNH","true"
{"lat":"45.64302535228929","lng":"8.676336941363454"},"LIMC","2022-06-16 15:34:05.501","drone","XEbXvJv0bVkBZXlUDFuT",1549641792900,false,false,false,3,"ok","none","Drone_01"," - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-16 15:34:05.501","plane","NAPOLI",1549641791900,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.625973455795105","lng":"8.719449853566177"},"LIMC","2022-06-16 15:34:05.501","plane","ADH138",1549641792900,true,true,false,0,"ok","STATIONARY","ADH138","eArts",79,"UNKNOW","false"
{"lat":"45.627721052658124","lng":"8.718975143893646"},"LIMC","2022-06-16 15:34:05.501","plane","NOS436",1549641792900,true,true,false,0,"ok","STATIONARY","NOS436","eArts",79,"UNKNOW","false"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-06-16 15:34:05.501","plane","ADH124",1549641792900,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
{"lat":"45.62917008051643","lng":"8.723224548254542"},"LIMC","2022-06-16 15:34:05.501","plane","AEA406",1549641794900,true,true,false,48,"ok","TAKINGOFF","AEA406","eArts",349,"UNKNOW","false"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-06-16 15:34:05.501","plane","ADH124",1549641794900,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
{"lat":"45.609098746417466","lng":"8.66072690137471"},"LIMC","2022-06-16 15:34:05.501","drone","nostZ24h3cVRvaQoip6f",1549641795900,false,false,false,3,"ok","none","Drone_04"," - Flutter App",0,"1FP8D5Gx2nCkwsXKiTPb","true"
{"lat":"45.61033668821027","lng":"8.808666209596797"},"LIMC","2022-06-16 15:34:05.501","drone","KU06HhsG71cqktPGMRrC",1549641798900,false,false,false,3,"ok","none","Drone_03"," - Flutter App",0,"iGbdly63CmE9yNzl8Xus","true"
{"lat":"45.625973455795105","lng":"8.719449853566177"},"LIMC","2022-06-16 15:34:05.501","plane","ADH138",1549641799900,true,true,false,0,"ok","STATIONARY","ADH138","eArts",79,"UNKNOW","false"
{"lat":"45.627721052658124","lng":"8.718975143893646"},"LIMC","2022-06-16 15:34:05.501","plane","NOS436",1549641799900,true,true,false,0,"ok","STATIONARY","NOS436","eArts",79,"UNKNOW","false"
{"lat":"45.646749683206465","lng":"8.721346758403413"},"LIMC","2022-06-16 15:34:05.501","plane","EZY54HY",1549641799900,true,true,false,0,"ok","STATIONARY","EZY54HY","eArts",399,"UNKNOW","false"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-16 15:34:05.501","plane","NAPOLI",1549641800900,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.627721052658124","lng":"8.718975143893646"},"LIMC","2022-06-16 15:34:05.501","plane","NOS436",1549641802900,true,true,false,0,"ok","STATIONARY","NOS436","eArts",79,"UNKNOW","false"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-16 15:34:05.501","plane","NAPOLI",1549641807900,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.63962501262492","lng":"8.720314177851712"},"LIMC","2022-06-16 15:34:05.501","plane","AEA406",1549641807900,true,true,false,96,"ok","AIRBORNE","AEA406","eArts",348,"UNKNOW","false"
{"lat":"45.646749683206465","lng":"8.721346758403413"},"LIMC","2022-06-16 15:34:05.501","plane","EZY54HY",1549641807900,true,true,false,0,"ok","STATIONARY","EZY54HY","eArts",399,"UNKNOW","false"
{"lat":"45.625973455795105","lng":"8.719449853566177"},"LIMC","2022-06-16 15:34:05.501","plane","ADH138",1549641808900,true,true,false,0,"ok","STATIONARY","ADH138","eArts",79,"UNKNOW","false"
{"lat":"45.64551675894887","lng":"8.724741292395818"},"LIMC","2022-06-16 15:34:05.501","plane","EZY152X",1549641809900,true,true,false,0,"ok","STATIONARY","EZY152X","eArts",349,"UNKNOW","false"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-06-16 15:34:05.501","plane","ADH124",1549641813900,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
{"lat":"45.625973455795105","lng":"8.719449853566177"},"LIMC","2022-06-16 15:34:05.501","plane","ADH138",1549641814900,true,true,false,0,"ok","STATIONARY","ADH138","eArts",79,"UNKNOW","false"
{"lat":"45.62416054751756","lng":"8.719947761990177"},"LIMC","2022-06-16 15:34:05.501","plane","ADH646",1549641814900,true,true,false,0,"ok","STATIONARY","ADH646","eArts",79,"UNKNOW","false"
{"lat":"45.645556483396234","lng":"8.718511139499459"},"LIMC","2022-06-16 15:34:05.501","plane","AEA406",1549641815900,true,true,false,96,"ok","AIRBORNE","AEA406","eArts",332,"UNKNOW","false"
{"lat":"45.61427689128341","lng":"8.725750729342376"},"LIMC","2022-06-16 15:34:05.501","plane","AUA516P",1549641817900,true,true,false,0,"ok","STATIONARY","AUA516P","eArts",79,"UNKNOW","false"
{"lat":"45.64302535228929","lng":"8.676336941363454"},"LIMC","2022-06-16 15:34:05.501","drone","XEbXvJv0bVkBZXlUDFuT",1549641818900,true,false,false,3,"ok","none","Drone_01"," - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.646749683206465","lng":"8.721346758403413"},"LIMC","2022-06-16 15:34:05.501","plane","EZY54HY",1549641819900,true,true,false,0,"ok","STATIONARY","EZY54HY","eArts",399,"UNKNOW","false"
{"lat":"45.62811216454801","lng":"8.723516719218159"},"LIMC","2022-06-16 15:34:05.501","plane","AEA406",1549641792900,true,true,false,44,"ok","TAKINGOFF","AEA406","eArts",349,"UNKNOW","false"
{"lat":"45.62416054751756","lng":"8.719947761990177"},"LIMC","2022-06-16 15:34:05.501","plane","ADH646",1549641796900,true,true,false,0,"ok","STATIONARY","ADH646","eArts",79,"UNKNOW","false"
{"lat":"45.655359159731915","lng":"8.769352687944183"},"LIMC","2022-06-16 15:34:05.501","drone","WiCRJDct38BXbuhwf1sC",1549641797900,false,false,false,3,"ok","none","Drone_02"," - Flutter App",0,"qJfB2EiRwZzorBCifwNH","true"
{"lat":"45.627721052658124","lng":"8.718975143893646"},"LIMC","2022-06-16 15:34:05.501","plane","NOS436",1549641798900,true,true,false,0,"ok","STATIONARY","NOS436","eArts",79,"UNKNOW","false"
{"lat":"45.63360611936997","lng":"8.72199929686588"},"LIMC","2022-06-16 15:34:05.501","plane","AEA406",1549641800900,true,true,false,62,"ok","TAKINGOFF","AEA406","eArts",349,"UNKNOW","false"
{"lat":"45.609098746417466","lng":"8.66072690137471"},"LIMC","2022-06-16 15:34:05.501","drone","nostZ24h3cVRvaQoip6f",1549641800900,false,false,false,3,"ok","none","Drone_04"," - Flutter App",0,"1FP8D5Gx2nCkwsXKiTPb","true"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-06-16 15:34:05.501","plane","ADH124",1549641803900,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
{"lat":"45.64551675894887","lng":"8.724741292395818"},"LIMC","2022-06-16 15:34:05.501","plane","EZY152X",1549641803900,true,true,false,0,"ok","STATIONARY","EZY152X","eArts",349,"UNKNOW","false"
{"lat":"45.64551675894887","lng":"8.724741292395818"},"LIMC","2022-06-16 15:34:05.501","plane","EZY152X",1549641805900,true,true,false,0,"ok","STATIONARY","EZY152X","eArts",349,"UNKNOW","false"
{"lat":"45.646749683206465","lng":"8.721346758403413"},"LIMC","2022-06-16 15:34:05.501","plane","EZY54HY",1549641805900,true,true,false,0,"ok","STATIONARY","EZY54HY","eArts",399,"UNKNOW","false"
{"lat":"45.6285112498424","lng":"8.715215211637432"},"LIMC","2022-06-16 15:34:05.501","plane","TAR757",1549641806900,true,true,false,0,"ok","STATIONARY","TAR757","eArts",529,"UNKNOW","false"
{"lat":"45.61427689128341","lng":"8.725750729342376"},"LIMC","2022-06-16 15:34:05.501","plane","AUA516P",1549641807900,true,true,false,0,"ok","STATIONARY","AUA516P","eArts",79,"UNKNOW","false"
{"lat":"45.64302535228929","lng":"8.676336941363454"},"LIMC","2022-06-16 15:34:05.501","drone","XEbXvJv0bVkBZXlUDFuT",1549641808900,false,false,false,3,"ok","none","Drone_01"," - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.64302535228929","lng":"8.676336941363454"},"LIMC","2022-06-16 15:34:05.501","drone","XEbXvJv0bVkBZXlUDFuT",1549641810900,false,false,false,3,"ok","none","Drone_01"," - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.64551675894887","lng":"8.724741292395818"},"LIMC","2022-06-16 15:34:05.501","plane","EZY152X",1549641810900,true,true,false,0,"ok","STATIONARY","EZY152X","eArts",349,"UNKNOW","false"
{"lat":"45.646013250231974","lng":"8.721870850910953"},"LIMC","2022-06-16 15:34:05.501","plane","EZY287C",1549641810900,true,true,false,0,"ok","STATIONARY","EZY287C","eArts",439,"UNKNOW","false"
{"lat":"45.646749683206465","lng":"8.721346758403413"},"LIMC","2022-06-16 15:34:05.501","plane","EZY54HY",1549641810900,true,true,false,0,"ok","STATIONARY","EZY54HY","eArts",399,"UNKNOW","false"
{"lat":"45.609098746417466","lng":"8.66072690137471"},"LIMC","2022-06-16 15:34:05.501","drone","nostZ24h3cVRvaQoip6f",1549641810900,false,false,false,3,"ok","none","Drone_04"," - Flutter App",0,"1FP8D5Gx2nCkwsXKiTPb","true"
{"lat":"45.6285112498424","lng":"8.715215211637432"},"LIMC","2022-06-16 15:34:05.501","plane","TAR757",1549641811900,true,true,false,0,"ok","STATIONARY","TAR757","eArts",529,"UNKNOW","false"
{"lat":"45.646749683206465","lng":"8.721346758403413"},"LIMC","2022-06-16 15:34:05.501","plane","EZY54HY",1549641811900,true,true,false,0,"ok","STATIONARY","EZY54HY","eArts",399,"UNKNOW","false"
{"lat":"45.655359159731915","lng":"8.769352687944183"},"LIMC","2022-06-16 15:34:05.501","drone","WiCRJDct38BXbuhwf1sC",1549641812900,false,false,false,3,"ok","none","Drone_02"," - Flutter App",0,"qJfB2EiRwZzorBCifwNH","true"
{"lat":"45.61033668821027","lng":"8.808666209596797"},"LIMC","2022-06-16 15:34:05.501","drone","KU06HhsG71cqktPGMRrC",1549641812900,false,false,false,3,"ok","none","Drone_03"," - Flutter App",0,"iGbdly63CmE9yNzl8Xus","true"
{"lat":"45.64605738463119","lng":"8.725169731353391"},"LIMC","2022-06-16 15:34:05.501","plane","EZY363E",1549641812900,true,true,false,0,"ok","STATIONARY","EZY363E","eArts",259,"UNKNOW","false"
{"lat":"45.62416054751756","lng":"8.719947761990177"},"LIMC","2022-06-16 15:34:05.501","plane","ADH646",1549641812900,true,true,false,0,"ok","STATIONARY","ADH646","eArts",79,"UNKNOW","false"
{"lat":"45.61427689128341","lng":"8.725750729342376"},"LIMC","2022-06-16 15:34:05.501","plane","AUA516P",1549641813900,true,true,false,0,"ok","STATIONARY","AUA516P","eArts",79,"UNKNOW","false"
{"lat":"45.646749683206465","lng":"8.721346758403413"},"LIMC","2022-06-16 15:34:05.501","plane","EZY54HY",1549641813900,true,true,false,0,"ok","STATIONARY","EZY54HY","eArts",399,"UNKNOW","false"
{"lat":"45.64302535228929","lng":"8.676336941363454"},"LIMC","2022-06-16 15:34:05.501","drone","XEbXvJv0bVkBZXlUDFuT",1549641814900,false,false,false,3,"ok","none","Drone_01"," - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.64551675894887","lng":"8.724741292395818"},"LIMC","2022-06-16 15:34:05.501","plane","EZY152X",1549641815900,true,true,false,0,"ok","STATIONARY","EZY152X","eArts",349,"UNKNOW","false"
{"lat":"45.61427689128341","lng":"8.725750729342376"},"LIMC","2022-06-16 15:34:05.501","plane","AUA516P",1549641815900,true,true,false,0,"ok","STATIONARY","AUA516P","eArts",79,"UNKNOW","false"
{"lat":"45.6285112498424","lng":"8.715215211637432"},"LIMC","2022-06-16 15:34:05.501","plane","TAR757",1549641815900,true,true,false,0,"ok","STATIONARY","TAR757","eArts",529,"UNKNOW","false"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-16 15:34:05.501","plane","NAPOLI",1549641816900,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.64703111890979","lng":"8.718021972967714"},"LIMC","2022-06-16 15:34:05.501","plane","AEA406",1549641817900,true,true,false,99,"ok","AIRBORNE","AEA406","eArts",328,"UNKNOW","false"
{"lat":"45.61427689128341","lng":"8.725750729342376"},"LIMC","2022-06-16 15:34:05.501","plane","AUA516P",1549641818900,true,true,false,0,"ok","STATIONARY","AUA516P","eArts",79,"UNKNOW","false"
{"lat":"45.62416054751756","lng":"8.719947761990177"},"LIMC","2022-06-16 15:34:05.501","plane","ADH646",1549641818900,true,true,false,0,"ok","STATIONARY","ADH646","eArts",79,"UNKNOW","false"
{"lat":"45.625973455795105","lng":"8.719449853566177"},"LIMC","2022-06-16 15:34:05.501","plane","ADH138",1549641820900,true,true,false,0,"ok","STATIONARY","ADH138","eArts",79,"UNKNOW","false"
{"lat":"45.61427689128341","lng":"8.725750729342376"},"LIMC","2022-06-16 15:34:05.501","plane","AUA516P",1549641795900,true,true,false,0,"ok","STATIONARY","AUA516P","eArts",79,"UNKNOW","false"
{"lat":"45.646749683206465","lng":"8.721346758403413"},"LIMC","2022-06-16 15:34:05.501","plane","EZY54HY",1549641795900,true,true,false,0,"ok","STATIONARY","EZY54HY","eArts",399,"UNKNOW","false"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-06-16 15:34:05.501","plane","ADH124",1549641797900,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
