id,clearanceType,time,type
"ADH138","Runway Change",1549640701000,"DEP"
"ADH138","Runway Entry Change",1549640701000,"DEP"
"AUA516P","Runway Change",1549640701000,"DEP"
"AUA516P","Runway Entry Change",1549640701000,"DEP"
"EZY69BX","Runway Change",1549640701000,"ARR"
"EZY69BX","Gate Change",1549640701000,"ARR"
"EZY69BX","Runway Exit Change",1549640701000,"ARR"
"EZY69BX","LDT Change",1549640701000,"ARR"
"BAW13MX","Runway Change",1549640701000,"ARR"
"BAW13MX","Gate Change",1549640701000,"ARR"
"BAW13MX","Runway Exit Change",1549640701000,"ARR"
"BAW13MX","LDT Change",1549640701000,"ARR"
"NAPOLI","Runway Change",1549640701000,"DEP"
"NAPOLI","Runway Entry Change",1549640701000,"DEP"
"EZY84HN","Runway Change",1549640701000,"ARR"
"EZY84HN","Gate Change",1549640701000,"ARR"
"EZY84HN","Runway Exit Change",1549640701000,"ARR"
"EZY84HN","LDT Change",1549640701000,"ARR"
"EZY363E","Runway Change",1549640701000,"DEP"
"EZY363E","Runway Entry Change",1549640701000,"DEP"
"GWI3820","Runway Change",1549640701000,"ARR"
"GWI3820","Gate Change",1549640701000,"ARR"
"GWI3820","Runway Exit Change",1549640701000,"ARR"
"GWI3820","LDT Change",1549640701000,"ARR"
"EZY80XC","Runway Change",1549640701000,"ARR"
"EZY80XC","Gate Change",1549640701000,"ARR"
"EZY80XC","Runway Exit Change",1549640701000,"ARR"
"EZY80XC","LDT Change",1549640701000,"ARR"
"EZY80XC","LDT Change",1549640701000,"ARR"
"EZY69BX","LDT Change",1549640701000,"ARR"
"BAW13MX","LDT Change",1549640701000,"ARR"
"EZY84HN","LDT Change",1549640701000,"ARR"
"GWI3820","LDT Change",1549640701000,"ARR"
"EZY69BX","LDT Change",1549640773000,"ARR"
"EZY152X","Runway Change",1549640810000,"DEP"
"EZY152X","Runway Entry Change",1549640810000,"DEP"
"EZY53VK","Runway Change",1549640810000,"ARR"
"EZY53VK","Gate Change",1549640810000,"ARR"
"EZY53VK","Runway Exit Change",1549640810000,"ARR"
"EZY53VK","LDT Change",1549640810000,"ARR"
"AUA516P","Startup Clearance",1549640816000,"DEP"
"AUA516P","Taxi Clearance",1549640834000,"DEP"
"ADH138","Startup Clearance",1549640845000,"DEP"
"ADH138","Taxi Clearance",1549640869000,"DEP"
"ADH124","Runway Change",1549640870000,"DEP"
"ADH124","Runway Entry Change",1549640870000,"DEP"
"AEA406","Runway Change",1549640870000,"DEP"
"AEA406","Runway Entry Change",1549640870000,"DEP"
"GWI3820","LDT Change",1549640889000,"ARR"
"AUA516P","Landing Clearance",1549640913000,"DEP"
"AUA516P","Lineup Clearance",1549640926000,"DEP"
"AUA516P","Takeoff Clearance",1549640926000,"DEP"
"EZY363E","Startup Clearance",1549640944000,"DEP"
"EZY363E","Pushback Clearance",1549640948000,"DEP"
"GWI3820","LDT Change",1549640951000,"ARR"
"ADH138","Landing Clearance",1549640958000,"DEP"
"AEA406","Startup Clearance",1549640971000,"DEP"
"GWI3820","LDT Change",1549640976000,"ARR"
"AEA406","Pushback Clearance",1549640978000,"DEP"
"THY4DX","Runway Change",1549640990000,"ARR"
"THY4DX","Gate Change",1549640990000,"ARR"
